System,TIC,TESSMag,SNR
HAT-P-46,104866616,11.13,57.29
HAT-P-47,73448352,10.19,80.38
HAT-P-48,346626688,11.45,49.07
HAT-P-49,99224131,9.93,106.84
HAT-P-50,17746821,11.32,33.34
HAT-P-51,61205803,12.76,39.49
HAT-P-52,436875934,13.14,22.77
HAT-P-53,189380158,13.09,21.09
HAT-P-54,284326455,12.23,56.81
HAT-P-55,311408969,12.66,35.81
HAT-P-56,84339983,10.51,71.38
HAT-P-57,317520667,10.12,111.33
HAT-P-58,9443323,12.20,26.27
HAT-P-59,229400092,11.21,52.20
HAT-P-60,354469661,9.18,175.61
HAT-P-61,259506033,12.38,18.22
HAT-P-62,453064665,11.89,31.54
HAT-P-63,325670253,12.90,23.32
HAT-P-64,455036659,12.16,36.75
HAT-P-65,283419843,12.54,34.40
HAT-P-66,137881699,12.51,27.96
HAT-P-67,198588220,9.63,163.73
HAT-P-69,379929661,9.61,141.12
HAT-P-70,399870368,9.34,168.49
HATS-01,219698950,11.51,67.48
HATS-02,413376180,12.75,34.37
HATS-03,336732616,11.52,52.81
HATS-04,59843967,12.76,34.20
HATS-05,139733308,11.90,51.13
HATS-06,33521996,13.34,41.93
HATS-07,220029715,12.43,10.38
HATS-09,12611594,12.59,16.03
HATS-10,126325985,12.52,26.71
HATS-11,11439959,13.37,21.32
HATS-12,11270200,12.30,15.95
HATS-13,289793076,13.16,32.42
HATS-14,29344935,13.24,24.56
HATS-15,271898990,14.07,12.45
HATS-16,77044471,13.26,18.42
HATS-17,73717937,11.75,23.94
HATS-18,14614418,13.39,21.23
HATS-19,48103627,12.44,35.30
HATS-20,287563610,13.05,13.58
HATS-21,120247528,11.58,41.22
HATS-22,14661418,12.48,48.82
HATS-23,7088246,13.29,15.65
HATS-24,380589029,12.29,51.83
HATS-25,437333618,12.47,40.39
HATS-26,315002523,12.43,37.59
HATS-27,248111245,12.33,32.18
HATS-28,6663331,13.29,23.39
HATS-29,201604954,11.97,60.70
HATS-30,281459670,11.67,61.04
HATS-31,9385460,12.53,27.24
HATS-32,204317710,13.74,16.35
HATS-33,360742636,11.25,108.93
HATS-34,355703913,13.18,15.70
HATS-35,339522221,12.05,41.04
HATS-36,119262291,13.78,12.82
HATS-37A,6036597,11.39,37.79
HATS-38,168281028,11.81,18.77
HATS-39,112604564,12.32,39.94
HATS-40,172598832,12.94,17.43
HATS-41,53750200,12.23,11.66
HATS-42,98283926,13.15,17.53
HATS-43,78055054,12.85,48.99
HATS-44,32499655,13.55,12.24
HATS-45,4616072,12.89,20.53
HATS-46,281541555,13.04,19.12
HATS-47,158297421,13.67,22.91
HATS-48,201642601,13.17,15.84
HATS-50,301031110,13.40,15.15
HATS-51,53458803,11.87,47.88
HATS-52,19684256,13.18,22.88
HATS-53,157266693,13.16,29.88
HATS-54,363851359,13.28,10.44
HATS-55,114299824,12.93,22.28
HATS-56,272213425,11.11,49.65
HATS-57,178289267,11.71,67.31
HATS-58,21113347,11.40,34.26
HATS-59,437261733,13.30,20.53
HATS-60,145750719,12.02,32.19
HATS-61,44745133,12.58,17.40
HATS-62,336732544,13.31,21.30
HATS-63,178879588,13.26,17.47
HATS-64,189625051,12.49,25.30
HATS-65,169504920,11.98,53.79
HATS-67,272212970,13.17,16.54
HATS-68,322307342,11.78,23.70
HATS-69,467971286,13.19,21.61
HATS-70,98545929,12.45,17.92
HATS-71,234523599,14.13,25.27
HATS-72,188570092,11.39,53.48
HD_003167c,318707987,8.25,34.43
HD_017156,302773669,7.64,208.78
HD_097658,82308728,6.99,32.65
HD_189733,256364928,6.85,922.16
K2-237,16288184,11.07,88.50
KELT-03,67666096,9.43,142.29
KELT-04,165297570,9.60,190.40
KELT-06,165987272,9.85,113.53
KELT-07,367366318,8.15,237.43
KELT-08,358516596,10.20,137.14
KELT-09,16740101,7.58,270.14
KELT-10,269217040,10.27,147.32
KELT-11,55092869,7.32,130.43
KELT-15,268644785,10.68,104.52
KELT-16,236445129,11.44,54.97
KELT-17,6893917,9.02,197.24
KELT-18,293687315,9.82,128.10
KELT-19,425206121,9.65,192.62
KELT-20,69679391,7.55,464.00
KELT-21,203189770,10.42,111.36
KELT-23,458478250,9.77,222.47
KELT-24,349827430,7.92,289.87
KELT-25,65412605,9.51,102.79
Kepler-448,169461816,10.93,86.42
KPS-1,99834717,12.21,26.86
MASCARA-4,371443216,8.06,164.06
NGTS-01,192826603,13.91,11.34
NGTS-02,125739286,10.53,111.53
NGTS-03A,124778445,13.98,12.76
NGTS-06,1528696,13.17,16.04
NGTS-08,102068384,12.94,22.95
NGTS-09,176685457,12.27,10.95
NGTS-10,37348844,13.61,12.47
NGTS-11,54002556,11.62,43.52
NGTS-12,157230659,11.66,27.98
OGLE-TR-056,1425441246,15.42,1.83
OGLE-TR-113,915110182,14.70,10.20
Qatar-1,236887394,11.85,60.62
Qatar-10,229791084,12.29,45.38
Qatar-2,2521105,12.32,63.79
Qatar-3,291751373,12.36,22.89
Qatar-4,440113053,12.84,31.18
Qatar-5,190998418,12.04,39.79
Qatar-6,311133118,10.53,106.31
Qatar-7,291685334,12.49,29.77
Qatar-8,103751498,10.91,82.44
Qatar-9,149918151,12.92,36.73
TrES-1,120757718,11.02,120.95
TrES-2 A,399860444,10.85,77.52
TrES-3,116264089,11.72,68.98
TrES-4,159742538,11.11,69.36
TrES-5,233948455,12.88,29.07
WASP-001,57984377,11.14,75.17
WASP-002,374530847,11.00,94.10
WASP-003,27848472,10.11,129.91
WASP-004,402026209,11.83,88.21
WASP-005,184240683,11.55,53.83
WASP-006,204376737,11.48,92.74
WASP-007,389352124,9.05,211.59
WASP-008,183532609,9.15,271.02
WASP-010,431701493,11.52,110.25
WASP-011,85593751,10.93,131.02
WASP-012,86396382,11.10,92.16
WASP-013,8767448,9.98,115.49
WASP-014,347430350,9.32,190.84
WASP-015,111991770,10.44,114.03
WASP-016,46096489,10.65,78.80
WASP-017,66818296,11.03,131.17
WASP-018,100100827,8.83,205.82
WASP-019,35516889,11.60,72.54
WASP-020,211438925,10.25,122.24
WASP-021,436478932,10.96,93.55
WASP-022,257567854,11.19,70.48
WASP-023,170102285,11.76,57.13
WASP-024,460396820,11.01,63.95
WASP-025,229047362,11.22,113.23
WASP-026,32487566,10.59,69.28
WASP-028,398572544,11.62,46.99
WASP-029,183537452,10.25,116.70
WASP-031,437248515,11.46,68.97
WASP-032,427332229,11.02,70.60
WASP-033,129979528,7.88,420.43
WASP-034,437242640,9.76,126.12
WASP-035,43647325,10.44,147.14
WASP-036,13349647,12.21,42.96
WASP-037,368805700,12.12,57.27
WASP-038,318696424,8.84,199.85
WASP-039,181949561,11.38,116.69
WASP-041,398943781,10.79,137.23
WASP-042,248075138,11.37,95.01
WASP-043,36734222,11.12,98.21
WASP-044,12862099,12.40,33.52
WASP-045,120610833,11.50,41.31
WASP-046,231663901,12.41,37.77
WASP-047b,102264230,11.29,72.50
WASP-048,284475976,11.15,57.29
WASP-049,306362738,10.82,75.20
WASP-050,382391899,11.05,91.88
WASP-052,427685831,11.38,100.90
WASP-053,268766053,11.76,52.25
WASP-054,61098812,9.87,158.36
WASP-055,294301883,11.35,95.67
WASP-056,347329162,11.54,66.32
WASP-057,175772482,12.27,41.86
WASP-058,424435940,11.23,83.43
WASP-059,91051152,11.55,77.71
WASP-060,288246496,11.56,40.58
WASP-061,13021029,11.72,44.13
WASP-062,149603524,9.71,203.03
WASP-063,393414358,10.44,80.03
WASP-064,52640302,12.05,49.69
WASP-065,444013020,11.30,82.20
WASP-066,53735810,11.25,44.94
WASP-067,68952448,11.36,58.37
WASP-068,71841620,9.95,118.01
WASP-069,248853232,8.86,341.19
WASP-070 A,442530946,10.60,82.38
WASP-071,422655579,10.16,51.90
WASP-072,122612091,10.46,37.77
WASP-073,231670397,9.86,97.05
WASP-074,244089109,9.13,121.39
WASP-075,36592530,10.93,46.26
WASP-076,293435336,9.03,246.66
WASP-077,1129033,9.63,285.38
WASP-078,139528693,11.83,31.40
WASP-079,170634116,9.68,196.47
WASP-080,243921117,10.36,264.25
WASP-081,399402994,11.89,51.96
WASP-082,452808876,9.54,90.92
WASP-083,286865921,11.50,61.23
WASP-084,350293646,10.05,185.19
WASP-085,380619414,10.15,124.30
WASP-086,116242971,10.12,35.67
WASP-087,15445551,10.35,63.03
WASP-089,77202722,12.40,41.53
WASP-090,459730973,11.07,37.19
WASP-091,238176110,11.04,89.45
WASP-092,162689341,12.42,34.29
WASP-093,240681314,10.65,78.40
WASP-094A,92352620,9.64,228.40
WASP-095,144065872,9.50,194.02
WASP-096,160148385,11.91,42.72
WASP-097,230982885,9.97,155.59
WASP-098,166833457,12.39,50.37
WASP-099,166836920,8.93,126.79
WASP-100,38846515,10.32,83.28
WASP-101,47911178,9.79,128.92
WASP-102,51637609,12.11,28.83
WASP-103,276754403,11.76,46.34
WASP-104,393495970,11.07,67.28
WASP-105,158623531,11.28,85.81
WASP-106,53189332,10.99,65.86
WASP-107,429302040,10.42,223.76
WASP-108,404340025,10.70,60.29
WASP-109,335255072,10.99,71.96
WASP-110,425817867,12.05,62.66
WASP-111,25375553,9.77,78.18
WASP-112,70440470,12.79,26.79
WASP-113,310003988,11.19,65.03
WASP-114,466390120,12.07,32.32
WASP-117,166739520,9.64,150.32
WASP-118,380907135,10.56,81.91
WASP-119,388104525,11.60,58.56
WASP-120,152476657,10.58,60.04
WASP-121,22529346,10.06,178.32
WASP-122,134537478,10.39,105.49
WASP-123,31858843,10.43,96.26
WASP-124,97409519,12.19,50.82
WASP-126,25155310,10.61,57.81
WASP-127,169226822,9.63,178.04
WASP-129,61538902,11.37,54.90
WASP-130,243200602,10.49,92.57
WASP-131,271168962,9.47,98.94
WASP-132,127530399,11.11,104.18
WASP-133,92449173,12.22,26.37
WASP-134,388909695,10.41,104.44
WASP-135,308172249,12.42,35.45
WASP-136,176220787,9.48,78.23
WASP-137,404467699,10.27,80.79
WASP-138,35857242,11.32,39.40
WASP-139,159951311,11.73,48.48
WASP-140,178284730,10.31,124.81
WASP-141,117979897,12.07,33.40
WASP-142,423275733,12.34,21.52
WASP-143,286099128,12.24,52.22
WASP-144,207077681,12.31,27.01
WASP-145,381856447,10.72,37.23
WASP-146,327952677,12.14,25.91
WASP-147,114749636,11.76,36.36
WASP-148,115524421,11.59,29.88
WASP-150,321668398,11.54,17.68
WASP-151,262662119,12.18,34.33
WASP-153,157586003,12.05,31.34
WASP-156,270380593,10.73,32.25
WASP-157,179012583,11.73,21.63
WASP-158,37718056,11.71,25.47
WASP-159,77156657,11.88,23.60
WASP-160,32949762,12.34,49.33
WASP-161,50712784,10.56,62.70
WASP-162,308098254,11.57,50.78
WASP-163,145368316,11.61,57.17
WASP-164,237320326,12.00,34.97
WASP-165,228381868,12.07,21.53
WASP-167,104024556,10.32,70.04
WASP-168,232038798,11.32,40.01
WASP-169,386259537,11.33,35.33
WASP-170,118956453,11.94,38.43
WASP-171,162922904,12.02,15.54
WASP-172,453789494,10.73,67.03
WASP-173,77031414,10.96,71.49
WASP-174,102192004,11.33,32.65
WASP-175,448589187,12.31,26.83
WASP-176,375942197,11.54,45.68
WASP-177,439842788,11.48,62.81
WASP-178,160708862,9.88,151.67
WASP-180,178367144,10.56,106.00
WASP-181,293457754,12.36,40.38
WASP-182,369455629,11.45,21.40
WASP-183,14344979,12.34,41.52
WASP-184,112099249,12.16,25.32
WASP-185,46020827,10.47,72.90
WASP-186,411608801,10.30,53.77
WASP-187,15692883,9.71,62.70
WASP-189,157910432,6.42,381.21
WASP-190,116156517,11.32,36.75
WASP-192,160578764,12.10,23.56
Wendelstein-1,75262942,14.20,13.27
XO-1,236312126,10.55,151.97
XO-2N,356473034,10.45,113.35
XO-3,8400842,9.44,115.85
XO-4,51234631,10.17,97.42
XO-5,9155187,11.46,51.44
XO-6,138168780,9.88,164.15
XO-7,268403451,10.05,92.40
