System,N,Chi-square,sigma_0,Period (days),P error,T0 (BJD TDB),T0 error,Time system,Reference
WASP-065,24,21.78,0.0,2.31142069,1.8E-07,2459231.1057,0.00016,BJD_TDB,This work
WASP-066,11,14.71,0.00086,4.0860519,1.3E-06,2458548.25617,0.00041,BJD_TDB,This work
WASP-067,8,15.05,0.0004,4.6144086,4.1E-06,2456082.78126,0.00018,BJD_TDB,This work
WASP-068,1,0,0,5.084298,1.5E-05,2456064.864327,0.00061,BJD_TDB,2014A&A...563A.143D
WASP-069,1,0,0,3.86814098,4E-07,2455748.834082,0.00017,BJD_TDB,2019AIPC.2178c0019B
WASP-070 A,1,0,0,3.7130203,4.7E-06,2455736.504232,0.00027,BJD_TDB,2014MNRAS.445.1114A
WASP-071,18,11.29,0.0,2.90368303,5.8E-07,2458413.14235,0.00024,BJD_TDB,This work
WASP-072,43,37.38,0.0,2.21674248,5.8E-07,2457660.74102,0.00032,BJD_TDB,This work
WASP-073,13,9.46,0.0,4.0873001,1.7E-06,2458327.67393,0.00032,BJD_TDB,This work
WASP-074,9,30.16,0.00062,2.1377512,1.9E-06,2457173.8715,0.00024,BJD_TDB,This work
WASP-075,7,10.63,0.00077,2.48419726,6.2E-07,2457009.94586,0.00049,BJD_TDB,This work
WASP-076,33,25.64,0.0,1.80988058,1.8E-07,2458080.6257,0.00013,BJD_TDB,This work
WASP-077,40,30.52,0.0,1.36002869,1.6E-07,2457658.8889,0.00014,BJD_TDB,This work
WASP-078,33,24.33,0.0,2.1751847,4E-07,2458440.3768,0.00022,BJD_TDB,This work
WASP-079,25,19.17,0.0,3.66239222,6.2E-07,2458412.891864,9.6E-05,BJD_TDB,This work
WASP-080,28,267.22,0.00095,3.0678527,1.2E-06,2456824.88835,0.00022,BJD_TDB,This work
WASP-081,1,0,0,2.7164762,2.3E-06,2456195.57462,0.00023,BJD_TDB,2017MNRAS.467.1714T
WASP-082,10,5.51,0.0,2.70578373,6E-07,2456931.8448,0.00031,BJD_TDB,This work
WASP-083,10,4.09,0.0,4.97129185,7.7E-07,2458205.73776,0.00022,BJD_TDB,This work
WASP-084,4,7.76,0.00055,8.5234964,2.1E-06,2459235.23634,0.00037,BJD_TDB,This work
WASP-085,1,0,0,2.6556763,0.0000003,2456844.81719,0.00001,BJD_TDB,2014arXiv1412.7761B
WASP-086,31,2852.42,0.01453,5.031639,1.3E-05,2458985.6174,0.0034,BJD_TDB,This work
WASP-087,41,74.26,0.00062,1.68279426,4E-07,2458571.34992,0.00014,BJD_TDB,This work
WASP-089,1,0,0,3.3564227,2.5E-06,2456207.021921,0.00012,BJD_TDB,2015AJ....150...18H
WASP-090,1,0,0,3.916243,3E-06,2456235.564679,0.0005,BJD_TDB,2016A&A...585A.126W
WASP-091,26,19.49,0.0,2.79857949,3.1E-07,2458326.689261,8.7E-05,BJD_TDB,This work
WASP-092,33,28.56,0.0,2.17467311,3.2E-07,2458930.00107,0.00024,BJD_TDB,This work
WASP-093,7,9.19,0.0008,2.7325375,1E-06,2458765.64929,0.00048,BJD_TDB,This work
WASP-094A,13,18.33,0.00036,3.95020049,7.9E-07,2458328.29911,0.00015,BJD_TDB,This work
WASP-095,22,18.27,0.0,2.18466629,2.3E-07,2458326.505803,7E-05,BJD_TDB,This work
WASP-096,18,15.39,0.0,3.4252563,4.9E-07,2458354.31979,0.00016,BJD_TDB,This work
WASP-097,23,20.31,0.0,2.07275975,2.3E-07,2458355.490419,7.1E-05,BJD_TDB,This work
WASP-098,24,17.04,0.0,2.96264133,2.9E-07,2458413.16611,0.00013,BJD_TDB,This work
WASP-099,12,19.42,0.0006,5.7525907,2.6E-06,2458387.95949,0.0003,BJD_TDB,This work
WASP-100,194,186.54,0.0,2.84938206,3.4E-07,2458329.594381,7.9E-05,BJD_TDB,This work
WASP-101,13,9.77,0.0,3.58570705,3.9E-07,2458470.30375,0.0001,BJD_TDB,This work
WASP-102,1,0,0,2.709813,5E-06,2456510.5872,0.0002,BJD_TDB,2016arXiv160804225F
WASP-103,31,27.21,0.0,0.92554542,1.1E-07,2457511.944436,7.6E-05,BJD_TDB,This work
WASP-104,81,56.24,0.0,1.75540569,1.1E-07,2457805.170205,3.7E-05,BJD_TDB,This work
WASP-105,10,2.08,0.0,7.872895,1.4E-06,2458355.73213,0.00018,BJD_TDB,This work
WASP-106,5,1.3,0.0,9.2897065,2.7E-06,2458553.94034,0.00048,BJD_TDB,This work
WASP-107,4,1.44,0.0,5.7214904,1.1E-06,2457584.32945,0.00017,BJD_TDB,This work
WASP-108,26,19.8,0.0,2.67554952,2.9E-07,2458599.714829,9.2E-05,BJD_TDB,This work
WASP-109,1,0,0,3.3190233,4.2E-06,2456361.193422,0.00023,BJD_TDB,2014arXiv1410.3449A
WASP-110,7,1.47,0.0,3.77840085,5.9E-07,2459038.03189,0.00026,BJD_TDB,This work
WASP-111,19,8.39,0.0,2.3109699,3.7E-07,2458325.58234,0.00013,BJD_TDB,This work
WASP-112,13,7.57,0.0,3.03540361,6.4E-07,2458326.73035,0.00031,BJD_TDB,This work
WASP-113,13,13.23,0.00041,4.5421669,1.6E-06,2458741.435,0.00028,BJD_TDB,This work
WASP-114,2,0.0,0.0,1.54877747,8.4E-07,2456667.7366,0.001,BJD_TDB,This work
WASP-117,13,9.58,0.0,10.0205929,3.2E-06,2457946.72794,0.00028,BJD_TDB,This work
WASP-118,9,5.92,0.0,4.0460496,1E-06,2459450.11564,0.00026,BJD_TDB,This work
WASP-119,111,112.22,0.0001,2.49980394,3.8E-07,2458327.409615,9.2E-05,BJD_TDB,This work
WASP-120,25,18.19,0.0,3.61126646,8.7E-07,2458411.72863,0.00019,BJD_TDB,This work
WASP-121,58,58.79,0.00013,1.27492483,1.1E-07,2457705.37012,0.00012,BJD_TDB,This work
WASP-122,52,86.92,0.00058,1.71005325,2.8E-07,2457783.59965,0.00019,BJD_TDB,This work
WASP-123,15,8.21,0.0,2.97764375,5.8E-07,2458658.55661,0.00012,BJD_TDB,This work
WASP-124,8,3.39,0.0,3.3726494,1.1E-06,2458330.42684,0.00033,BJD_TDB,This work
WASP-126,167,139.46,0.0,3.288787,4.4E-07,2458327.520637,8.5E-05,BJD_TDB,This work
WASP-127,13,14.53,0.00019,4.17806476,6E-07,2458218.05313,0.00012,BJD_TDB,This work
WASP-129,8,5.17,0.0,5.7481356,1.2E-06,2458573.68658,0.00022,BJD_TDB,This work
WASP-130,5,2.3,0.0,11.5509734,2.2E-06,2458607.5859,0.00022,BJD_TDB,This work
WASP-131,5,6.68,0.00061,5.3220117,2.6E-06,2458601.58007,0.00041,BJD_TDB,This work
WASP-132,7,1.76,0.0,7.1335125,1.2E-06,2458602.85618,0.00017,BJD_TDB,This work
WASP-133,1,0,0,2.176423,1E-06,2457116.988190,0.0002,BJD_TDB,2016A&A...591A..55M
WASP-134,1,0,0,10.1467583,8E-06,2457201.031783,0.00075,BJD_TDB,2018arXiv181209264A
WASP-135,18,9.48,0.0,1.40137841,3.4E-07,2459010.50778,0.00025,BJD_TDB,This work
WASP-136,8,16.35,0.00087,5.2153563,3E-06,2459092.5245,0.0004,BJD_TDB,This work
WASP-137,9,6.37,0.0,3.908023,1.7E-06,2458387.49071,0.00027,BJD_TDB,This work
WASP-138,12,40.67,0.00115,3.6344365,2.5E-06,2458413.31678,0.00046,BJD_TDB,This work
WASP-139,16,17.92,0.00042,5.9242671,1.9E-06,2458387.57163,0.00022,BJD_TDB,This work
WASP-140,30,43.94,0.00023,2.23598437,3.3E-07,2458412.697267,7.7E-05,BJD_TDB,This work
WASP-141,17,23.89,0.00102,3.310667,1.8E-06,2458439.87191,0.00041,BJD_TDB,This work
WASP-142,16,15.96,0.00072,2.05287056,9.9E-07,2458518.69154,0.00044,BJD_TDB,This work
WASP-143,10,8.33,0.00018,3.77888851,9.2E-07,2458520.80748,0.00025,BJD_TDB,This work
WASP-144,16,25.17,0.00084,2.2783135,1.2E-06,2458326.05062,0.00035,BJD_TDB,This work
WASP-145,13,9.97,0.0,1.76903814,2.7E-07,2459037.77335,0.00016,BJD_TDB,This work
WASP-146,14,22.09,0.00105,3.3969484,2.2E-06,2458359.79975,0.00042,BJD_TDB,This work
WASP-147,10,11.47,0.0009,4.6027435,3.1E-06,2458357.66553,0.00056,BJD_TDB,This work
WASP-148,15,1911.71,0.01237,8.803843,2.6E-05,2456883.4236,0.0049,BJD_TDB,This work
WASP-150,1,0,0,5.644207,4E-06,2457217.262187,0.0004,BJD_TDB,2020AJ....159..255C
WASP-151,19,13.39,0.0,4.5334686,1.7E-06,2457813.544391,7.5E-05,BJD_TDB,This work
WASP-153,23,23.6,0.00068,3.3326095,1.6E-06,2458684.6714,0.00043,BJD_TDB,This work
WASP-156,22,17.48,0.0,3.8361646,1.1E-06,2458414.13562,0.00025,BJD_TDB,This work
WASP-157,1,0,0,3.9516205,4E-06,2457257.803194,8.8E-05,BJD,2016PASP..128l4403M
WASP-158,1,0,0,3.656333,4E-06,2457619.920309,0.001,BJD_TDB,2019MNRAS.482.1379H
WASP-159,21,21.52,0.00073,3.8404185,3.2E-06,2458432.32895,0.0005,BJD_TDB,This work
WASP-160,7,2.38,0.0,3.7684953,2.6E-06,2459203.8382,0.0012,BJD_TDB,This work
WASP-161,8,1.32,0.0,5.405352,6E-06,2458513.90689,0.00068,BJD_TDB,This work
WASP-162,5,3.68,0.00045,9.6246647,6.7E-06,2458548.35253,0.00047,BJD_TDB,This work
WASP-163,1,0,0,1.6096884,1.5E-06,2457918.462770,0.0004,BJD_TDB,2019AJ....157...43B
WASP-164,10,6.9,0.0,1.77713739,3.9E-07,2459062.73949,0.00027,BJD_TDB,This work
WASP-165,12,8.36,0.0,3.4655055,3.4E-06,2458377.46736,0.00055,BJD_TDB,This work
WASP-167,21,32.99,0.00054,2.02195934,4.9E-07,2458571.96256,0.00019,BJD_TDB,This work
WASP-168,18,32.3,0.001,4.1536579,2.6E-06,2459177.37226,0.00035,BJD_TDB,This work
WASP-169,7,4.79,0.0,5.6114237,5.7E-06,2458521.89614,0.00066,BJD_TDB,This work
WASP-170,10,12.14,0.0005,2.3447781,1E-06,2459256.15472,0.00028,BJD_TDB,This work
WASP-171,16,18.02,0.00138,3.8186258,5.9E-06,2458594.43561,0.00087,BJD_TDB,This work
WASP-172,13,15.26,0.00052,5.4774327,1.8E-06,2458604.28521,0.00029,BJD_TDB,This work
WASP-173,36,47.28,0.00029,1.38665321,2.6E-07,2458105.5981,0.00013,BJD_TDB,This work
WASP-174,5,0.69,0.0,4.2337,1.8E-06,2459311.8268,0.00066,BJD_TDB,This work
WASP-175,9,10.43,0.00101,3.0652961,1.8E-06,2459283.36554,0.00061,BJD_TDB,This work
WASP-176,1,0,0,3.899052,5E-06,2458234.177882,0.0007,BJD_TDB,2020AJ....159..255C
WASP-177,5,2.93,0.0,3.07172156,9.4E-07,2459450.36742,0.00033,BJD_TDB,This work
WASP-178,2,0.0,0.0,3.3448369,6.2E-06,2456927.0692,0.0014,BJD_TDB,This work
WASP-180,14,6.85,0.0,3.40926463,7.2E-07,2458509.94394,0.00012,BJD_TDB,This work
WASP-181,8,0.54,0.0,4.5195085,1.3E-06,2459451.5215,0.00035,BJD_TDB,This work
WASP-182,7,7.55,0.00169,3.3769895,7.1E-06,2459038.511,0.0012,BJD_TDB,This work
WASP-183,5,2.95,0.0,4.1117648,6.8E-06,2459259.97278,0.00045,BJD_TDB,This work
WASP-184,4,3.15,0.00182,5.181729,1.4E-05,2458604.1738,0.0017,BJD_TDB,This work
WASP-185,1,0,0,9.38755,2E-05,2456935.982771,0.002,BJD_TDB,2019MNRAS.490.1479H
WASP-186,9,11.42,0.0007,5.0267992,2E-06,2458765.60096,0.0004,BJD_TDB,This work
WASP-187,4,2.83,0.0008,5.1478828,3.6E-06,2458769.98436,0.00089,BJD_TDB,This work
WASP-189,2,0.0,0.0,2.7240308,2.8E-06,2456706.4566,0.0023,BJD_TDB,This work
WASP-190,8,6.42,0.00035,5.3677672,4.3E-06,2458373.4767,0.00044,BJD_TDB,This work
WASP-192,14,5.72,0.0,2.8786686,2.2E-06,2458604.15644,0.0005,BJD_TDB,This work
Wendelstein-1,1,0,0,2.663416,1E-06,2455367.738464,1.4E-05,BJD_TDB,2020A&A...639A.130O
XO-1,97,271.7,0.00113,3.94150465,4.1E-07,2456055.57566,0.00016,BJD_TDB,This work
XO-2N,36,101.29,0.00087,2.61585906,2.5E-07,2456737.45107,0.0002,BJD_TDB,This work
XO-3,41,389.52,0.00323,3.191524,1E-06,2454178.58918,0.00071,BJD_TDB,This work
XO-4,27,122.36,0.00416,4.1250672,2E-06,2455933.83257,0.00085,BJD_TDB,This work
XO-5,27,30.69,0.00073,4.1877539,1.4E-06,2455218.5258,0.00045,BJD_TDB,This work
XO-6,24,32.47,0.00024,3.7649925,1.4E-06,2459032.189012,8.7E-05,BJD_TDB,This work
XO-7,46,64.22,0.00036,2.86413545,9.6E-07,2458793.90079,0.00012,BJD_TDB,This work
